Batch No.,Serial No.,Cathode Lum. Sens.,Anode Lum. Sens.,Anode Dark Current,Cathode Blue Sens.,Supply Voltage,Peak to Valley Ratio,Dark Count,TTS,QE @ 390 nm,QE @ 450 nm, num
135,KM55125,105,276,1.7,11,1080,3.5,170,,,,135
136,KM55126,105,372,2.2,11.1,1030,3.59,160,,,,136
137,KM55128,102,274,1.7,11.1,1070,3.18,220,,,,137
138,KM55129,100,255,1.9,11,1090,3.23,160,,,,138
139,KM55132,98,255,2.2,11,1080,2.98,170,,,,139
140,KM55135,96,239,1.7,10.7,1100,3.29,300,,,,140
141,KM55136,101,262,1.6,10.8,1090,3.16,210,,,,141
142,KM53560,98,414,2.1,10.6,1010,3.3,190,,,,142
143,KM55138,102,286,1.4,10.9,1080,3.4,200,,,,143
144,KM55139,99,252,1.3,10.7,1090,2.94,220,,,,144
145,KM55140,101,262,1.3,10.7,1090,3.5,180,,,,145
146,KM56163,108,312,1,10.9,1040,3.42,260,,,,146
147,KM56164,102,297,1.1,10.8,1050,3.31,270,,,,147
148,KM56165,105,340,1.8,11,1030,2.77,300,,,,148
149,KM56175,116,287,1.2,11.3,1070,2.61,520,,,,149
150,KM56176,108,205,0.9,11.1,1110,2.66,500,,,,150
151,KM56177,118,230,0.9,11.4,1110,3.22,330,,,,151
152,KM56178,104,207,1.6,11,1100,2.76,430,,,,152
153,KM56180,103,253,1,10.9,1080,3.34,330,,,,153
154,KM56183,108,207,1.2,11,1110,2.56,430,,,,154
155,KM56184,105,277,2,11.1,1070,3.18,340,,,,155
156,KM56186,95,242,0.8,10.6,1070,3.07,310,,,,156
157,KM56188,108,244,0.8,11.2,1090,3.33,300,,,,157
158,KM56189,110,279,1.3,11.2,1070,3.21,450,,,,158
159,KM56191,110,311,1.9,11.2,1050,2.76,360,,,,159
160,KM56192,113,263,1.1,11.3,1070,2.72,330,,,,160
161,KM56193,113,270,1.2,11.4,1070,2.55,380,,,,161
162,KM56197,107,253,0.9,11.2,1090,2.8,370,,,,162
163,KM56199,108,292,0.9,11.2,1060,3.14,230,,,,163
164,KM56204,109,206,1.3,11,1130,3.19,490,,,,164
165,KM56205,113,348,1.5,11.4,1040,2.84,440,,,,165
166,KM56208,116,231,0.7,11.4,1120,2.98,320,,,,166
167,KM56209,106,223,1.6,11,1100,3.19,340,,,,167
168,KM56220,104,287,0.9,11,1070,2.55,200,,,,168
169,KM56222,109,317,2.3,11.1,1050,2.86,340,,,,169
170,KM56223,105,244,1,11,1090,2.9,290,,,,170
171,KM55307,113,290,1.5,11.2,1080,2.89,290,,,,171
172,KM56123,98,312,1,10.9,1030,3.21,210,,,,172
173,KM56126,112,398,1.9,11.3,1030,2.83,240,,,,173
174,KM56129,103,315,1.2,11,1040,2.92,260,,,,174
175,KM56130,105,330,1.7,11,1040,2.93,320,,,,175
176,KM56131,98,276,1.3,10.8,1050,2.77,240,,,,176
177,KM56138,113,237,1,11.2,1100,2.52,400,,,,177
178,KM56140,90,221,1.4,10.4,1080,2.64,300,,,,178
179,KM56142,124,426,1.6,11.7,1020,3.08,300,,,,179
180,KM56144,109,385,2.4,11.3,1020,2.76,310,,,,180
181,KM56145,110,304,1.2,11.1,1050,2.88,340,,,,181
182,KM56146,100,280,1.3,10.8,1050,3.2,210,,,,182
183,KM56148,101,269,1.9,10.9,1070,3.1,240,,,,183
184,KM56149,108,299,1.9,11.1,1060,3.33,210,,,,184
185,KM56151,100,208,0.5,10.6,1100,3.05,270,,,,185
186,KM56152,103,197,1.1,10.8,1120,2.65,300,,,,186
187,KM56154,104,384,1.4,10.9,1010,3.07,200,,,,187
188,KM56156,98,186,0.9,10.6,1110,3.18,380,,,,188
189,KM56158,95,220,1,10.6,1080,3.13,250,,,,189
190,KM56160,104,260,1.4,10.9,1060,2.62,270,,,,190
191,KM56161,91,206,1.1,10.5,1090,2.94,190,,,,191
192,KM56162,100,303,1.4,10.8,1040,3.89,180,,,,192
193,KM57174,95,209,0.8,10.6,1110,3.59,120,,,,193
194,KM56412,101,191,0.7,10.9,1120,3.96,190,,,,194
195,KM56422,108,321,1.2,11.1,1050,3.53,220,,,,195
196,KM56426,103,303,1,10.8,1050,2.95,180,,,,196
197,KM56428,120,469,2.2,11.2,1020,3.17,250,,,,197
198,KM56431,101,336,1.2,10.8,1040,3.06,650,,,,198
199,KM56438,109,414,2.8,11.1,1030,3.22,220,,,,199
200,KM56439,111,457,1.7,11.2,1020,3.83,320,,,,200
201,KM56445,110,306,1.9,11.4,1060,3.42,230,,,,201
202,KM56449,115,449,3.4,11.5,1010,3.25,370,,,,202
203,KM56467,97,296,1.4,10.7,1050,2.83,350,,,,203
204,KM56468,104,258,1.3,10.9,1100,3.49,530,,,,204
205,KM56469,102,282,1.1,10.9,1070,3.09,290,,,,205
206,KM56470,97,178,1.1,10.8,1130,3.41,240,,,,206
207,KM56471,105,251,1.2,11.1,1080,2.91,440,,,,207
208,KM56472,101,277,1.1,11,1060,2.8,250,,,,208
209,KM56473,99,218,1.3,10.9,1130,3.61,640,,,,209
210,KM56476,100,264,0.9,11,1070,3.3,180,,,,210
211,KM56477,100,265,0.9,10.9,1070,3.16,230,,,,211
212,KM56478,104,267,1.1,11,1070,3.42,330,,,,212
213,KM56479,100,248,0.9,11,1080,3.26,270,,,,213
214,KM56480,99,267,1.5,10.8,1070,4.58,290,,,,214
215,KM56481,102,198,1.5,11.2,1120,3.55,200,,,,215
216,KM56483,96,229,0.8,10.6,1090,3.46,260,,,,216
217,KM56487,97,301,1.1,10.9,1050,3.53,190,,,,217
218,KM56494,104,201,1.3,10.9,1120,3.46,280,,,,218
219,KM56631,108,230,1.6,11,1100,3.34,200,,,,219
220,KM56699,104,259,0.9,11,1080,3.2,300,,,,220
221,KM56700,107,168,1.2,11.2,1150,2.98,220,,,,221
222,KM56701,100,313,1,10.8,1050,3.03,210,,,,222
223,KM56269,100,385,1.4,10.7,1020,3.31,320,,,,223
224,KM56270,109,393,1.3,11.1,1020,3.2,410,,,,224
225,KM56273,122,358,1.3,11.2,1050,2.57,880,,,,225
226,KM56274,113,343,1.4,10.9,1040,2.52,690,,,,226
227,KM56275,118,280,1.1,11.1,1090,2.56,780,,,,227
228,KM56276,118,316,1.4,11.1,1060,2.65,620,,,,228
229,KM56277,116,382,1.1,11.2,1040,3.02,560,,,,229
230,KM56278,112,337,1.4,11.1,1050,2.96,480,,,,230
231,KM56281,115,292,1,11.1,1080,3.04,900,,,,231
232,KM56282,114,324,1.2,11.2,1060,3.1,400,,,,232
233,KM56284,108,203,0.9,10.7,1120,3.43,660,,,,233
234,KM56285,111,275,0.9,10.8,1080,3,680,,,,234
235,KM56286,113,297,2.1,11,1070,2.73,1070,,,,235
236,KM56289,114,348,1.3,11.1,1040,3.09,390,,,,236
237,KM56290,99,272,1.2,10.4,1050,3.05,460,,,,237
238,KM56292,115,315,1.5,11.1,1060,2.92,750,,,,238
239,KM56293,108,215,1,10.9,1120,3.09,500,,,,239
240,KM56294,101,168,1.1,10.7,1140,2.7,430,,,,240
241,KM56295,107,189,1.5,10.8,1140,2.76,400,,,,241
242,KM56296,105,289,1.1,10.9,1070,3.68,360,,,,242
243,KM56297,105,288,1.2,10.8,1050,3.35,320,,,,243
244,KM56298,111,339,2.5,11,1050,3.44,250,,,,244
245,KM56299,110,238,1.7,10.7,1100,3.02,390,,,,245
246,KM56301,113,358,1.4,11,1040,3.15,340,,,,246
247,KM56302,113,254,2.4,10.9,1090,2.89,420,,,,247
248,KM56303,110,319,2.7,11,1050,3.19,530,,,,248
249,KM56305,102,400,1.7,10.8,1010,3.05,1090,,,,249
250,KM56306,102,318,0.8,10.7,1050,3.59,320,,,,250
251,KM56308,113,308,1.2,11.1,1070,3.26,280,,,,251
252,KM56644,99,270,0.9,10.7,1060,3.5,180,,,,252
253,KM56645,96,211,1.3,10.5,1090,3.47,170,,,,253
254,KM56646,92,283,1,10.5,1050,4.17,190,,,,254
255,KM56648,97,296,2.4,10.5,1060,3.23,260,,,,255
256,KM56651,96,310,1.1,10.6,1050,3.57,250,,,,256
257,KM56653,102,401,1.2,10.9,1020,3.19,210,,,,257
258,KM56654,96,207,0.5,10.6,1110,3.41,240,,,,258
259,KM56655,102,225,0.9,10.6,1110,3.86,300,,,,259
260,KM56656,97,255,1.8,10.5,1080,3.71,150,,,,260
261,KM56657,97,188,0.8,10.6,1120,3.51,200,,,,261
262,KM56658,96,160,0.7,10.7,1150,3.97,190,,,,262
263,KM56659,101,151,0.7,10.7,1170,4.22,220,,,,263
264,KM56660,104,325,1.7,10.9,1050,3.24,240,,,,264
265,KM56662,108,191,1.3,10.9,1160,3.33,640,,,,265
266,KM56663,110,276,1.4,11.2,1080,3,360,,,,266
267,KM56664,102,67,0.2,11,1330,4.28,210,,,,267
